noaaCode,fipsCode,state
1,1,Alabama
2,4,Arizona                 
3,5,Arkansas                
4,6,California              
5,8,Colorado                
6,9,Connecticut             
7,10,Delaware                
8,12,Florida                 
9,13,Georgia                 
10,16,Idaho                   
11,17,Illinois                
12,18,Indiana                 
13,19,Iowa                    
14,20,Kansas                  
15,21,Kentucky                
16,22,Louisiana               
17,23,Maine                   
18,24,Maryland                
19,25,Massachusetts           
20,26,Michigan                
21,27,Minnesota               
22,28,Mississippi
23,29,Missouri   
24,30,Montana   
25,31,Nebraska 
26,32,Nevada  
27,33,New Hampshire
28,34,New Jersey
29,35,New Mexico
30,36,New York
31,37,North Carolina
32,38,North Dakota
33,39,Ohio
34,40,Oklahoma
35,41,Oregon
36,42,Pennsylvania
37,44,Rhode Island
38,45,South Carolina
39,46,South Dakota
40,47,Tennessee
41,48,Texas
42,49,Utah
43,50,Vermont
44,51,Virginia
45,53,Washington
46,54,West Virginia
47,55,Wisconsin
48,56,Wyoming
50,2,Alaska
