state_code,division_number,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
01,001,2015,  44.70,  42.80,  59.10,  67.40,  72.90,  79.70,  82.40,  80.40,  75.40,  66.00,  60.20,  57.50
01,001,2016,  44.10,  50.70,  60.30,  64.40,  71.70,  79.70,  82.40,  82.80,  79.50,  68.90,  57.90,  51.00
01,001,2017,  53.10,  56.30,  59.30,  68.20,  70.40,  76.40,  81.30,  79.50,  75.20,  66.70,  55.50,  47.30
01,001,2018,  40.60,  58.70,  56.20,  60.60,  75.00,  80.40,  81.60,  80.00,  80.50,  68.10,  50.80,  49.40
01,001,2019,  47.00,  58.50,  56.40,  64.60,  75.50,  79.40,  81.60,  82.40,  82.10,  69.60,  51.90,  52.10
01,003,2015,  49.60,  48.00,  64.00,  70.40,  74.80,  80.40,  83.50,  81.40,  77.30,  69.20,  63.50,  61.90
01,003,2016,  48.80,  54.60,  64.20,  67.40,  73.60,  80.70,  83.30,  82.30,  80.40,  71.50,  62.90,  57.20
01,003,2017,  58.10,  60.80,  63.40,  69.40,  73.00,  77.90,  81.80,  81.00,  77.20,  70.30,  60.60,  53.00
01,003,2018,  46.00,  64.10,  60.60,  63.30,  76.30,  81.00,  82.10,  80.40,  80.40,  71.70,  56.30,  54.70
01,003,2019,  51.80,  61.90,  59.50,  65.90,  76.20,  81.00,  82.20,  82.20,  81.90,  72.30,  56.10,  55.80
01,005,2015,  46.50,  44.70,  61.10,  68.10,  73.80,  79.60,  82.40,  80.20,  74.80,  66.20,  60.40,  59.60
01,005,2016,  45.40,  52.10,  61.80,  64.80,  71.60,  80.10,  82.50,  82.10,  79.50,  69.70,  60.00,  53.20
01,005,2017,  54.60,  58.30,  60.10,  67.90,  71.90,  76.70,  81.10,  80.00,  75.50,  68.20,  58.20,  50.30
01,005,2018,  43.70,  61.00,  56.60,  61.80,  74.90,  79.40,  80.60,  79.20,  80.00,  69.50,  52.80,  51.10
01,005,2019,  49.10,  58.60,  57.50,  65.00,  75.40,  79.70,  81.30,  81.10,  80.70,  70.90,  52.90,  51.60
