state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Alabama,2015,   4.34,   4.05,   4.28,   7.14,   4.32,   3.27,   4.71,   4.94,   2.71,   2.93,   6.80,  11.87
Alabama,2016,   4.06,   5.85,   5.42,   5.68,   2.14,   3.81,   4.27,   4.58,   1.72,   0.13,   2.30,   5.05
Alabama,2017,   9.17,   3.70,   4.17,   4.09,   7.01,  10.70,   5.06,   6.07,   3.25,   6.03,   1.05,   3.89
Alabama,2018,   2.32,   7.27,   4.14,   5.94,   5.52,   4.58,   4.46,   5.03,   6.21,   2.69,   6.29,   9.95
Alabama,2019,   6.01,   6.21,   3.40,   6.24,   3.59,   4.47,   4.02,   4.99,   0.41,   7.12,   3.24,   6.60
Arizona,2015,   1.79,   0.64,   1.12,   0.42,   1.00,   0.80,   1.91,   2.10,   1.37,   1.88,   0.76,   0.60
Arizona,2016,   1.40,   0.29,   0.11,   0.80,   0.52,   0.43,   1.39,   2.57,   1.35,   0.35,   0.94,   2.13
Arizona,2017,   2.07,   1.26,   0.41,   0.19,   0.41,   0.06,   2.89,   1.39,   0.61,   0.03,   0.02,   0.13
Arizona,2018,   0.56,   1.07,   0.44,   0.04,   0.15,   0.33,   2.59,   2.00,   0.81,   2.70,   0.27,   0.71
Arizona,2019,   1.50,   2.74,   1.22,   0.30,   0.91,   0.06,   0.79,   0.88,   1.68,   0.02,   2.96,   1.63
Arkansas,2015,   3.49,   3.18,   8.02,   5.75,  10.56,   3.99,   4.92,   3.02,   1.47,   3.75,  10.72,   8.44
Arkansas,2016,   2.02,   2.43,   9.89,   5.80,   4.54,   3.10,   4.82,   7.42,   1.80,   1.58,   3.28,   3.76
Arkansas,2017,   3.02,   2.76,   4.56,   8.74,   6.59,   4.24,   4.72,   6.30,   1.21,   1.82,   1.11,   5.19
Arkansas,2018,   2.70,  11.81,   5.45,   5.06,   3.28,   2.94,   3.24,   6.43,   5.32,   5.22,   5.11,   7.76
Arkansas,2019,   4.51,   7.76,   3.98,   8.25,   9.18,   6.12,   4.83,   4.51,   1.98,   7.56,   4.66,   2.31
California,2015,   0.65,   2.86,   0.78,   1.06,   0.93,   0.23,   0.66,   0.08,   0.33,   0.90,   1.87,   4.69
California,2016,   6.39,   1.21,   4.88,   1.52,   0.77,   0.27,   0.06,   0.06,   0.10,   3.82,   2.16,   4.49
California,2017,   9.92,   7.94,   2.45,   2.76,   0.43,   0.26,   0.09,   0.27,   0.43,   0.34,   2.98,   0.30
California,2018,   3.33,   0.57,   5.12,   2.13,   0.66,   0.07,   0.22,   0.04,   0.06,   0.70,   2.81,   2.38
California,2019,   5.23,   8.57,   4.05,   1.22,   2.50,   0.09,   0.08,   0.13,   0.61,   0.16,   1.61,   4.87
Colorado,2015,   0.65,   1.35,   0.86,   1.88,   5.30,   1.91,   2.37,   1.67,   0.76,   1.82,   1.69,   1.47
Colorado,2016,   1.02,   0.85,   1.28,   2.74,   2.07,   1.35,   1.64,   2.07,   1.00,   0.49,   0.92,   1.65
Colorado,2017,   2.29,   1.00,   1.19,   2.17,   2.82,   0.69,   3.05,   1.87,   1.98,   0.93,   0.52,   0.40
Colorado,2018,   0.81,   1.13,   0.90,   1.37,   1.54,   0.98,   2.11,   1.45,   0.66,   2.39,   0.87,   0.75
Colorado,2019,   1.38,   1.57,   2.78,   1.44,   2.84,   1.78,   1.59,   1.47,   0.71,   0.96,   1.10,   1.26
Connecticut,2015,   3.47,   2.01,   3.05,   2.74,   1.21,   6.35,   2.81,   2.14,   3.62,   3.31,   2.23,   4.14
Connecticut,2016,   2.14,   4.94,   2.16,   2.86,   3.33,   1.78,   3.32,   3.70,   1.92,   3.88,   3.24,   3.46
Connecticut,2017,   3.56,   2.14,   3.33,   4.71,   5.35,   3.54,   4.38,   2.62,   2.30,   8.26,   1.62,   2.29
Connecticut,2018,   3.86,   5.28,   3.47,   5.39,   2.67,   3.79,   5.32,   5.68,   8.56,   4.99,   8.09,   5.06
Connecticut,2019,   5.90,   3.01,   2.76,   7.32,   4.82,   3.42,   4.20,   3.96,   1.86,   7.19,   2.87,   6.60
Delaware,2015,   4.96,   2.32,   4.53,   3.13,   1.50,   9.01,   3.33,   2.81,   3.20,   3.84,   3.02,   4.62
Delaware,2016,   2.67,   3.79,   1.73,   2.73,   5.88,   3.72,   5.53,   3.03,   9.98,   2.87,   0.79,   2.95
Delaware,2017,   3.00,   1.24,   4.46,   2.63,   5.68,   2.32,   8.04,   7.91,   2.57,   3.59,   2.04,   1.05
Delaware,2018,   2.98,   4.97,   4.09,   3.40,   6.99,   3.97,   5.77,   4.53,   6.61,   5.04,   6.85,   4.82
Delaware,2019,   3.45,   3.45,   3.63,   3.58,   4.50,   5.18,   3.47,   3.20,   1.33,   4.18,   1.37,   4.12
Florida,2015,   2.84,   3.23,   2.00,   4.28,   2.39,   6.05,   7.83,   8.44,   6.67,   1.84,   3.80,   3.49
Florida,2016,   6.05,   3.25,   3.43,   2.93,   4.62,   7.11,   4.87,   8.12,   7.43,   2.67,   0.21,   2.72
Florida,2017,   3.71,   1.88,   1.24,   2.23,   3.84,  12.26,   7.57,   8.52,   8.87,   5.19,   1.64,   1.68
Florida,2018,   2.96,   2.40,   2.15,   3.74,   9.31,   6.59,   8.40,   7.61,   4.91,   2.12,   3.15,   7.18
Florida,2019,   3.98,   1.98,   1.94,   3.12,   3.41,   7.99,   7.53,   8.79,   1.73,   5.16,   1.83,   4.64
Georgia,2015,   3.64,   4.49,   2.81,   6.20,   2.17,   4.25,   4.65,   5.78,   3.75,   3.23,   6.28,   8.49
Georgia,2016,   3.78,   4.87,   3.03,   4.16,   2.78,   4.02,   2.75,   4.00,   3.49,   1.39,   0.95,   5.68
Georgia,2017,   7.72,   2.09,   2.11,   3.74,   5.60,   6.36,   4.86,   4.58,   5.01,   3.54,   1.00,   3.19
Georgia,2018,   2.82,   4.29,   3.55,   4.16,   6.67,   5.06,   6.26,   5.54,   2.75,   3.83,   6.24,   9.63
Georgia,2019,   4.94,   3.26,   2.95,   3.93,   2.30,   5.95,   3.93,   4.53,   0.89,   5.49,   3.18,   6.54
Idaho,2015,   2.06,   1.86,   1.51,   1.23,   2.89,   0.77,   1.37,   0.76,   1.31,   1.69,   2.51,   4.56
Idaho,2016,   2.66,   1.65,   3.58,   1.65,   2.21,   0.80,   0.72,   0.15,   1.82,   4.54,   1.44,   3.66
Idaho,2017,   3.33,   4.91,   4.14,   2.95,   1.60,   1.69,   0.33,   0.35,   2.09,   1.65,   3.55,   2.24
Idaho,2018,   2.78,   2.33,   2.75,   2.54,   2.47,   1.64,   0.12,   0.53,   0.16,   1.94,   2.38,   2.24
Idaho,2019,   2.22,   4.78,   1.40,   3.20,   2.83,   1.09,   0.55,   0.59,   2.10,   1.57,   0.82,   2.26
Illinois,2015,   1.50,   1.43,   2.35,   3.41,   5.39,   9.44,   5.21,   3.02,   3.42,   1.44,   5.52,   6.67
Illinois,2016,   0.86,   1.31,   3.35,   3.30,   4.34,   3.13,   6.90,   6.77,   3.42,   2.38,   2.59,   1.40
Illinois,2017,   2.13,   0.73,   3.56,   6.88,   5.17,   3.19,   4.81,   2.40,   0.83,   5.00,   2.26,   0.84
Illinois,2018,   1.30,   4.88,   3.91,   2.42,   3.80,   6.29,   3.44,   4.91,   4.90,   3.68,   3.01,   3.25
Illinois,2019,   3.31,   3.21,   4.06,   4.58,   8.16,   5.16,   3.05,   4.05,   5.00,   5.01,   2.40,   1.88
Indiana,2015,   2.11,   1.40,   3.54,   4.79,   3.98,   9.07,   6.23,   2.57,   2.39,   2.42,   3.57,   5.44
Indiana,2016,   1.34,   2.78,   4.46,   4.17,   3.53,   4.28,   5.13,   6.48,   3.66,   2.61,   2.58,   2.36
