state,year,month,temp
Alabama,2015,1,43.60
Alabama,2015,2,41.30
Alabama,2015,3,57.80
Alabama,2015,4,66.00
Alabama,2015,5,71.80
Alabama,2015,6,78.80
Alabama,2015,7,81.60
Alabama,2015,8,79.00
Alabama,2015,9,74.40
Alabama,2015,10,65.00
Alabama,2015,11,59.20
Alabama,2015,12,56.90
Alabama,2016,1,43.00
Alabama,2016,2,49.80
Alabama,2016,3,59.70
Alabama,2016,4,63.60
Alabama,2016,5,70.20
Alabama,2016,6,79.20
Alabama,2016,7,82.00
Alabama,2016,8,81.60
Alabama,2016,9,78.60
Alabama,2016,10,68.50
Alabama,2016,11,57.80
Alabama,2016,12,50.10
Alabama,2017,1,52.40
Alabama,2017,2,55.60
Alabama,2017,3,58.40
Alabama,2017,4,67.20
Alabama,2017,5,69.90
Alabama,2017,6,75.80
Alabama,2017,7,80.60
Alabama,2017,8,78.80
Alabama,2017,9,73.40
Alabama,2017,10,65.80
Alabama,2017,11,55.60
Alabama,2017,12,46.90
Alabama,2018,1,40.40
Alabama,2018,2,58.00
Alabama,2018,3,55.40
Alabama,2018,4,59.50
Alabama,2018,5,74.40
Alabama,2018,6,79.30
Alabama,2018,7,80.70
Alabama,2018,8,79.50
Alabama,2018,9,79.40
Alabama,2018,10,67.40
Alabama,2018,11,50.40
Alabama,2018,12,49.00
Alabama,2019,1,46.50
Alabama,2019,2,56.00
Alabama,2019,3,55.00
Alabama,2019,4,63.40
Alabama,2019,5,74.20
Alabama,2019,6,78.10
Alabama,2019,7,80.60
Alabama,2019,8,80.60
Alabama,2019,9,80.20
Alabama,2019,10,67.90
Alabama,2019,11,50.70
Alabama,2019,12,51.30
Arizona,2015,1,45.10
Arizona,2015,2,52.00
Arizona,2015,3,56.30
Arizona,2015,4,58.40
Arizona,2015,5,62.90
Arizona,2015,6,78.40
Arizona,2015,7,78.60
Arizona,2015,8,80.60
Arizona,2015,9,75.00
Arizona,2015,10,64.50
Arizona,2015,11,48.30
Arizona,2015,12,40.90
Arizona,2016,1,41.80
Arizona,2016,2,50.60
Arizona,2016,3,54.90
Arizona,2016,4,58.50
Arizona,2016,5,64.60
Arizona,2016,6,80.30
Arizona,2016,7,82.40
Arizona,2016,8,77.50
Arizona,2016,9,71.60
Arizona,2016,10,66.10
Arizona,2016,11,53.10
Arizona,2016,12,44.70
Arizona,2017,1,42.30
Arizona,2017,2,49.40
Arizona,2017,3,56.60
Arizona,2017,4,59.90
Arizona,2017,5,66.10
Arizona,2017,6,79.80
Arizona,2017,7,81.50
Arizona,2017,8,79.10
Arizona,2017,9,72.40
Arizona,2017,10,65.10
Arizona,2017,11,57.60
Arizona,2017,12,46.60
Arizona,2018,1,47.60
Arizona,2018,2,46.70
Arizona,2018,3,52.30
Arizona,2018,4,62.90
Arizona,2018,5,68.50
Arizona,2018,6,78.60
Arizona,2018,7,82.30
Arizona,2018,8,80.20
Arizona,2018,9,76.00
Arizona,2018,10,59.90
Arizona,2018,11,49.40
Arizona,2018,12,42.80
Arizona,2019,1,42.30
Arizona,2019,2,41.00
Arizona,2019,3,51.80
Arizona,2019,4,60.30
Arizona,2019,5,60.80
Arizona,2019,6,75.20
Arizona,2019,7,81.90
Arizona,2019,8,81.90
Arizona,2019,9,73.80
Arizona,2019,10,60.10
Arizona,2019,11,52.10
Arizona,2019,12,42.30
Arkansas,2015,1,38.60
Arkansas,2015,2,36.10
Arkansas,2015,3,49.70
Arkansas,2015,4,62.50
Arkansas,2015,5,69.30
Arkansas,2015,6,78.10
Arkansas,2015,7,81.90
Arkansas,2015,8,78.10
Arkansas,2015,9,74.80
Arkansas,2015,10,63.50
Arkansas,2015,11,54.20
Arkansas,2015,12,50.00
Arkansas,2016,1,39.50
Arkansas,2016,2,46.90
Arkansas,2016,3,55.50
Arkansas,2016,4,62.50
Arkansas,2016,5,67.20
Arkansas,2016,6,78.90
Arkansas,2016,7,82.00
Arkansas,2016,8,80.00
Arkansas,2016,9,75.80
Arkansas,2016,10,67.00
Arkansas,2016,11,55.70
Arkansas,2016,12,42.50
Arkansas,2017,1,45.20
Arkansas,2017,2,52.50
Arkansas,2017,3,55.70
Arkansas,2017,4,64.20
Arkansas,2017,5,67.70
Arkansas,2017,6,75.50
Arkansas,2017,7,80.60
Arkansas,2017,8,76.90
Arkansas,2017,9,73.20
Arkansas,2017,10,62.90
Arkansas,2017,11,53.70
Arkansas,2017,12,42.40
Arkansas,2018,1,35.70
Arkansas,2018,2,45.90
Arkansas,2018,3,53.90
Arkansas,2018,4,55.20
Arkansas,2018,5,75.00
Arkansas,2018,6,80.10
Arkansas,2018,7,81.80
Arkansas,2018,8,78.80
Arkansas,2018,9,75.00
Arkansas,2018,10,62.60
Arkansas,2018,11,45.80
Arkansas,2018,12,44.20
Arkansas,2019,1,40.80
Arkansas,2019,2,46.00
Arkansas,2019,3,48.90
Arkansas,2019,4,60.80
Arkansas,2019,5,70.60
Arkansas,2019,6,75.60
Arkansas,2019,7,79.00
Arkansas,2019,8,80.40
Arkansas,2019,9,79.80
Arkansas,2019,10,60.90
Arkansas,2019,11,46.30
Arkansas,2019,12,45.70
California,2015,1,48.60
California,2015,2,53.20
California,2015,3,56.90
California,2015,4,56.70
California,2015,5,60.80
California,2015,6,74.40
California,2015,7,75.00
California,2015,8,76.50
California,2015,9,72.10
California,2015,10,65.00
California,2015,11,47.60
California,2015,12,42.30
California,2016,1,44.50
California,2016,2,51.80
California,2016,3,52.50
California,2016,4,57.90
California,2016,5,62.20
California,2016,6,73.50
California,2016,7,76.80
California,2016,8,76.20
California,2016,9,69.50
California,2016,10,60.50
California,2016,11,52.80
California,2016,12,43.40
California,2017,1,42.20
California,2017,2,47.30
California,2017,3,53.40
California,2017,4,55.60
California,2017,5,63.40
California,2017,6,72.80
California,2017,7,78.80
California,2017,8,77.90
California,2017,9,69.80
California,2017,10,62.00
California,2017,11,53.40
California,2017,12,47.50
California,2018,1,48.90
California,2018,2,46.60
California,2018,3,49.00
California,2018,4,57.20
California,2018,5,63.00
California,2018,6,71.40
California,2018,7,79.60
California,2018,8,76.40
California,2018,9,71.10
California,2018,10,60.90
California,2018,11,52.60
California,2018,12,44.80
California,2019,1,46.10
California,2019,2,40.70
California,2019,3,48.90
California,2019,4,58.20
California,2019,5,58.60
California,2019,6,71.10
California,2019,7,75.50
California,2019,8,76.80
California,2019,9,68.90
California,2019,10,58.80
California,2019,11,53.00
California,2019,12,44.50
Colorado,2015,1,29.20
Colorado,2015,2,32.10
Colorado,2015,3,40.60
Colorado,2015,4,44.80
Colorado,2015,5,49.80
Colorado,2015,6,64.90
Colorado,2015,7,66.60
Colorado,2015,8,66.90
Colorado,2015,9,62.60
Colorado,2015,10,51.40
Colorado,2015,11,34.60
Colorado,2015,12,25.80
Colorado,2016,1,25.60
Colorado,2016,2,32.40
Colorado,2016,3,37.90
Colorado,2016,4,43.70
Colorado,2016,5,50.80
Colorado,2016,6,66.40
Colorado,2016,7,69.20
Colorado,2016,8,64.50
Colorado,2016,9,59.70
Colorado,2016,10,51.80
Colorado,2016,11,40.20
Colorado,2016,12,25.20
Colorado,2017,1,25.30
Colorado,2017,2,35.40
Colorado,2017,3,42.50
Colorado,2017,4,44.30
Colorado,2017,5,51.50
